,Unnamed: 0,ETF,Ticker,Technical Action,Score,index,weight
1,13,XLF,PGR,Buy,304.9093386710667,,
5,7,XLY,TJX,Buy,61.28742848634312,,
6,46,XLY,BWA,Buy,47.540867207871386,,
7,25,XLY,LEN,Buy,45.852978571766194,,
8,18,XLY,YUM,Buy,45.775769530254514,,
4,70,XLK,CTXS,Buy,44.4142988353462,,
3,0,XLV,UNH,Buy,43.34305917486554,,
3,47,XLI,EXPD,Buy,34.56115423131876,,
3,0,XLE,XOM,Buy,30.964184965153883,,
3,3,XLU,D,Buy,29.84637060313424,,
4,1,XLE,CVX,Buy,24.16690923707211,,
4,13,XLV,ELV,Buy,19.85691571555409,,
3,25,XLP,CLX,Buy,18.17367885584701,,
4,31,XLP,CPB,Buy,16.767104217085098,,
4,6,XLU,EXC,Buy,14.546859527840294,,
5,27,XLP,SJM,Buy,13.259779885355831,,
6,24,XLP,K,Buy,11.81167574496222,,
5,5,XLU,SRE,Buy,5.318542254557723,,
6,19,XLU,CMS,Buy,4.278960010410698,,
7,8,XLP,CL,Buy,4.172412925677706,,
8,2,XLP,PEP,Buy,1.6849564733394915,,
