,Date,Exports
0,1947-01-01,
1,1947-04-01,
2,1947-07-01,
3,1947-10-01,
4,1948-01-01,
5,1948-04-01,
6,1948-07-01,
7,1948-10-01,
8,1949-01-01,
9,1949-04-01,
10,1949-07-01,
11,1949-10-01,
12,1950-01-01,
13,1950-04-01,
14,1950-07-01,
15,1950-10-01,
16,1951-01-01,
17,1951-04-01,
18,1951-07-01,
19,1951-10-01,
20,1952-01-01,
21,1952-04-01,
22,1952-07-01,
23,1952-10-01,
24,1953-01-01,
25,1953-04-01,
26,1953-07-01,
27,1953-10-01,
28,1954-01-01,
29,1954-04-01,
30,1954-07-01,
31,1954-10-01,
32,1955-01-01,
33,1955-04-01,
34,1955-07-01,
35,1955-10-01,
36,1956-01-01,
37,1956-04-01,
38,1956-07-01,
39,1956-10-01,
40,1957-01-01,
41,1957-04-01,
42,1957-07-01,
43,1957-10-01,
44,1958-01-01,
45,1958-04-01,
46,1958-07-01,
47,1958-10-01,
48,1959-01-01,
49,1959-04-01,
50,1959-07-01,
51,1959-10-01,
52,1960-01-01,
53,1960-04-01,
54,1960-07-01,
55,1960-10-01,
56,1961-01-01,
57,1961-04-01,
58,1961-07-01,
59,1961-10-01,
60,1962-01-01,
61,1962-04-01,
62,1962-07-01,
63,1962-10-01,
64,1963-01-01,
65,1963-04-01,
66,1963-07-01,
67,1963-10-01,
68,1964-01-01,
69,1964-04-01,
70,1964-07-01,
71,1964-10-01,
72,1965-01-01,
73,1965-04-01,
74,1965-07-01,
75,1965-10-01,
76,1966-01-01,
77,1966-04-01,
78,1966-07-01,
79,1966-10-01,
80,1967-01-01,
81,1967-04-01,
82,1967-07-01,
83,1967-10-01,
84,1968-01-01,
85,1968-04-01,
86,1968-07-01,
87,1968-10-01,
88,1969-01-01,
89,1969-04-01,
90,1969-07-01,
91,1969-10-01,
92,1970-01-01,-80.918
93,1970-04-01,-78.824
94,1970-07-01,-77.37
95,1970-10-01,-81.296
96,1971-01-01,-76.085
97,1971-04-01,-98.818
98,1971-07-01,-95.325
99,1971-10-01,-94.11
100,1972-01-01,-114.168
101,1972-04-01,-108.738
102,1972-07-01,-102.718
103,1972-10-01,-107.959
104,1973-01-01,-106.7
105,1973-04-01,-84.462
106,1973-07-01,-74.043
107,1973-10-01,-63.674
108,1974-01-01,-48.639
109,1974-04-01,-52.388
110,1974-07-01,-62.091
111,1974-10-01,-51.525
112,1975-01-01,-15.961
113,1975-04-01,-0.175
114,1975-07-01,-27.88
115,1975-10-01,-28.508
116,1976-01-01,-50.298
117,1976-04-01,-61.966
118,1976-07-01,-67.883
119,1976-10-01,-76.943
120,1977-01-01,-99.608
121,1977-04-01,-95.296
122,1977-07-01,-87.394
123,1977-10-01,-102.758
124,1978-01-01,-122.507
125,1978-04-01,-92.313
126,1978-07-01,-94.221
127,1978-10-01,-86.747
128,1979-01-01,-85.281
129,1979-04-01,-86.723
130,1979-07-01,-67.336
131,1979-10-01,-53.797
132,1980-01-01,-43.269
133,1980-04-01,-3.644
134,1980-07-01,24.995
135,1980-10-01,2.135
136,1981-01-01,-7.397
137,1981-04-01,-5.794
138,1981-07-01,-9.797
139,1981-10-01,-19.79
140,1982-01-01,-25.25
141,1982-04-01,-16.163
142,1982-07-01,-52.351
143,1982-10-01,-52.751
144,1983-01-01,-56.377
145,1983-04-01,-87.459
146,1983-07-01,-117.093
147,1983-10-01,-133.497
148,1984-01-01,-166.6
149,1984-04-01,-180.117
150,1984-07-01,-186.272
151,1984-10-01,-195.335
152,1985-01-01,-180.895
153,1985-04-01,-210.869
154,1985-07-01,-210.845
155,1985-10-01,-222.857
156,1986-01-01,-209.176
157,1986-04-01,-231.724
158,1986-07-01,-240.244
159,1986-10-01,-228.966
160,1987-01-01,-224.514
161,1987-04-01,-222.672
162,1987-07-01,-215.533
163,1987-10-01,-213.322
164,1988-01-01,-181.02
165,1988-04-01,-157.251
166,1988-07-01,-163.153
167,1988-10-01,-168.089
168,1989-01-01,-153.932
169,1989-04-01,-130.842
170,1989-07-01,-123.294
171,1989-10-01,-127.426
172,1990-01-01,-123.815
173,1990-04-01,-113.991
174,1990-07-01,-105.523
175,1990-10-01,-77.932
176,1991-01-01,-64.769
177,1991-04-01,-52.738
178,1991-07-01,-57.49
179,1991-10-01,-58.44
180,1992-01-01,-50.588
181,1992-04-01,-63.859
182,1992-07-01,-60.634
183,1992-10-01,-77.153
184,1993-01-01,-94.361
185,1993-04-01,-103.294
186,1993-07-01,-117.522
187,1993-10-01,-128.671
188,1994-01-01,-142.93
189,1994-04-01,-151.207
190,1994-07-01,-147.342
191,1994-10-01,-156.058
192,1995-01-01,-161.962
193,1995-04-01,-159.231
194,1995-07-01,-121.666
195,1995-10-01,-121.729
196,1996-01-01,-146.406
197,1996-04-01,-155.958
198,1996-07-01,-186.355
199,1996-10-01,-145.303
200,1997-01-01,-177.951
201,1997-04-01,-176.638
202,1997-07-01,-199.322
203,1997-10-01,-231.397
204,1998-01-01,-279.7
205,1998-04-01,-327.298
206,1998-07-01,-353.478
207,1998-10-01,-359.388
208,1999-01-01,-408.119
209,1999-04-01,-440.213
210,1999-07-01,-463.751
211,1999-10-01,-481.06
212,2000-01-01,-529.823
213,2000-04-01,-548.563
214,2000-07-01,-584.71
215,2000-10-01,-601.605
216,2001-01-01,-593.418
217,2001-04-01,-570.756
218,2001-07-01,-595.951
219,2001-10-01,-620.749
220,2002-01-01,-646.42
221,2002-04-01,-672.761
222,2002-07-01,-693.624
223,2002-10-01,-748.328
224,2003-01-01,-743.445
225,2003-04-01,-770.518
226,2003-07-01,-767.793
227,2003-10-01,-774.94
228,2004-01-01,-804.023
229,2004-04-01,-861.424
230,2004-07-01,-888.426
231,2004-10-01,-908.482
232,2005-01-01,-901.463
233,2005-04-01,-900.249
234,2005-07-01,-914.168
235,2005-10-01,-945.519
236,2006-01-01,-933.699
237,2006-04-01,-929.023
238,2006-07-01,-957.134
239,2006-10-01,-890.73
240,2007-01-01,-894.609
241,2007-04-01,-882.099
242,2007-07-01,-841.261
243,2007-10-01,-773.705
244,2008-01-01,-753.684
245,2008-04-01,-672.294
246,2008-07-01,-647.799
247,2008-10-01,-668.863
248,2009-01-01,-577.258
249,2009-04-01,-473.669
250,2009-07-01,-500.532
251,2009-10-01,-513.589
252,2010-01-01,-531.806
253,2010-04-01,-601.323
254,2010-07-01,-634.916
255,2010-10-01,-589.536
256,2011-01-01,-584.812
257,2011-04-01,-559.544
258,2011-07-01,-560.145
259,2011-10-01,-579.569
260,2012-01-01,-566.662
261,2012-04-01,-555.258
262,2012-07-01,-556.53
263,2012-10-01,-528.02
264,2013-01-01,-514.957
265,2013-04-01,-534.776
266,2013-07-01,-535.42
267,2013-10-01,-492.092
268,2014-01-01,-551.529
269,2014-04-01,-566.717
270,2014-07-01,-562.572
271,2014-10-01,-620.252
272,2015-01-01,-683.646
273,2015-04-01,-699.938
274,2015-07-01,-746.557
275,2015-10-01,-756.689
276,2016-01-01,-759.273
277,2016-04-01,-744.633
278,2016-07-01,-730.425
279,2016-10-01,-793.973
280,2017-01-01,-781.081
281,2017-04-01,-804.456
282,2017-07-01,-787.29
283,2017-10-01,-814.959
284,2018-01-01,-826.597
285,2018-04-01,-816.673
286,2018-07-01,-896.516
287,2018-10-01,-921.831
288,2019-01-01,-903.646
289,2019-04-01,-924.47
290,2019-07-01,-909.372
291,2019-10-01,-832.815
292,2020-01-01,-828.189
293,2020-04-01,-767.251
294,2020-07-01,-991.147
295,2020-10-01,-1103.967
296,2021-01-01,-1164.529
297,2021-04-01,-1203.87
298,2021-07-01,-1267.458
299,2021-10-01,-1297.645
300,2022-01-01,-1488.699
301,2022-04-01,-1430.544
302,2022-07-01,-1268.77
303,2022-10-01,-1238.615
304,2023-01-01,-1208.397
