Unnamed: 0,ETF,Ticker,Technical Action,Score,weight,Dollar Amount,Unnamed: 0.1
50,XLF,PFG,Buy,913.3538357890924,6.123270666554827,306.1635333277414,
28,XLF,AFL,Buy,783.8024463267415,5.254737364539533,262.73686822697664,
45,XLF,HBAN,Buy,711.9043260846277,4.7727208300837365,238.6360415041868,
16,XLV,GILD,Buy,597.2787221042704,4.004252388844138,200.21261944220691,
8,XLI,MMM,Buy,371.1068329197517,2.4879597535300744,124.39798767650372,
5,XLV,MRK,Buy,333.18114359569563,2.2336998469668865,111.68499234834434,
27,XLU,NRG,Buy,317.042274501951,2.125502279013699,106.27511395068494,
1,XLI,UPS,Buy,316.9395199461122,2.1248133959839595,106.24066979919796,
50,XLV,CAH,Buy,288.3787276898376,1.9333372619998936,96.6668630999947,
9,XLV,BMY,Buy,284.75929652320303,1.9090720147059796,95.45360073529896,
12,XLY,F,Buy,272.822915001581,1.8290485977429252,91.45242988714628,
12,XLK,TXN,Buy,269.28392018499443,1.80532260864608,90.26613043230398,
30,XLY,DRI,Buy,256.0810015798561,1.7168081238539856,85.84040619269928,
3,XLF,SPGI,Buy,233.8925894645525,1.5680534488099078,78.4026724404954,
27,XLI,CMI,Buy,226.6359001036037,1.5194034389680933,75.97017194840465,
15,XLI,ITW,Buy,221.61554980579243,1.4857462050354644,74.28731025177322,
34,XLK,PAYX,Buy,215.88157899555853,1.4473047446841725,72.36523723420862,
44,XLF,RF,Buy,212.019555410467,1.4214131188919592,71.07065594459796,
21,XLK,ADI,Buy,193.05184279711452,1.2942505300836031,64.71252650418016,
24,XLRE,IRM,Buy,188.0172875134116,1.2604980636463072,63.02490318231536,
60,XLI,SNA,Buy,180.8947142907368,1.2127471899149744,60.637359495748726,
39,XLY,AAP,Buy,176.78317157734293,1.1851827478502392,59.25913739251197,
11,XLV,CVS,Buy,173.1407730442815,1.1607635236465896,58.03817618232949,
2,XLI,UNP,Buy,169.40804721601356,1.1357387307624849,56.78693653812423,
30,XLI,FAST,Buy,161.4356230980408,1.082290320266961,54.114516013348045,
21,XLI,JCI,Buy,154.80027026079776,1.0378058501761014,51.89029250880507,
58,XLI,CHRW,Buy,136.9046994457965,0.917831072013506,45.891553600675294,
12,XLP,SYY,Buy,127.80306151598066,0.8568122309363296,42.84061154681648,
17,XLI,GD,Buy,123.03290168277536,0.8248323140225204,41.24161570112602,
66,XLI,HII,Buy,119.69853559010696,0.8024781887243527,40.12390943621764,
28,XLU,PNW,Buy,115.65772479731096,0.775387944804537,38.76939724022685,
32,XLF,MTB,Buy,115.52496148633838,0.7744978782653509,38.72489391326754,
2,XLY,HD,Buy,115.4706892552235,0.7741340285197514,38.70670142598757,
16,XLI,ETN,Buy,111.86393895662732,0.7499537957998642,37.49768978999321,
27,XLY,GPC,Buy,110.09954807484252,0.7381250362245177,36.906251811225886,
48,XLF,FDS,Buy,109.78018315061234,0.7359839625290472,36.79919812645236,
35,XLK,TEL,Buy,103.31324277082942,0.6926285565754802,34.63142782877401,
51,XLK,BR,Buy,100.61728342244632,0.6745544125260206,33.72772062630103,
13,XLI,NSC,Buy,96.73829820440773,0.6485490732249655,32.42745366124827,
18,XLK,ADP,Buy,95.93409120629344,0.643157540471247,32.15787702356235,
26,XLK,KLAC,Buy,91.06416436355718,0.6105087695175103,30.52543847587552,
6,XLY,SBUX,Buy,89.49645928641947,0.599998623135574,29.9999311567787,
3,XLI,HON,Buy,89.05412884305152,0.5970331688694744,29.85165844347372,
34,XLF,AMP,Buy,86.66315701784704,0.581003710111922,29.050185505596097,
14,XLU,EIX,Buy,85.45755677213788,0.5729211726211101,28.646058631055503,
21,XLF,MET,Buy,83.67631286355677,0.5609794276499829,28.048971382499143,
2,XLU,SO,Buy,81.63664459828713,0.5473051643263519,27.3652582163176,
69,XLI,AOS,Buy,79.52612205077862,0.5331558825257272,26.65779412628636,
22,XLI,PH,Buy,72.43875548699998,0.4856410398846891,24.282051994234457,
9,XLE,WMB,Buy,64.95195514855592,0.4354483291274824,21.77241645637412,
10,XLRE,VICI,Buy,56.80037930590599,0.3807988567240827,19.039942836204137,
15,XLRE,EXR,Buy,48.70529604118671,0.3265281196275993,16.326405981379963,
53,XLF,CBOE,Sell,177.70691068009688,3.7534853203036858,187.6742660151843,8.0
31,XLF,FRC,Sell,147.00553088964458,3.105017695068909,155.25088475344543,11.0
17,XLF,AON,Sell,67.53490395162848,1.4264570219606425,71.32285109803212,23.0
1,XLU,DUK,Sell,66.23123052857953,1.39892112570789,69.94605628539449,25.0
26,XLP,CAG,Sell,55.60892093090072,1.1745590961727388,58.72795480863694,26.0
46,XLY,BWA,Sell,48.21498758957384,1.0183861023946033,50.91930511973017,27.0
5,XLRE,O,Sell,39.13950310681397,0.8266957643525145,41.33478821762572,28.0
8,XLE,VLO,Sell,36.06725632266424,0.7618044601228486,38.09022300614243,29.0
28,XLRE,REG,Sell,33.333616151343804,0.7040651284627835,35.20325642313917,30.0
3,XLU,D,Sell,30.256941012320183,0.6390802895194218,31.95401447597109,31.0
2,XLRE,CCI,Sell,20.93730325306588,0.4422330009922973,22.111650049614862,32.0
6,XLU,EXC,Sell,14.379074184368465,0.3037115645307852,15.18557822653926,33.0
