,Unnamed: 0,ETF,Ticker,Technical Action,Score,weight,Dollar Amount,Name
0,36,XLY,NVR,Buy,47.12850963770679,10.78078477183593,539.0392385917966,"NVR, Inc."
1,0,XLK,AAPL,Buy,34.41415975204243,7.872339953935385,393.61699769676926,Apple Inc.
2,5,XLK,AVGO,Buy,30.67713311239596,7.017484152248586,350.8742076124293,Broadcom Inc.
3,38,XLI,GWW,Buy,26.751048775649632,6.119380847987214,305.9690423993607,"W.W. Grainger, Inc."
4,7,XLI,BA,Buy,25.30019502617708,5.787493798540601,289.3746899270301,The Boeing Company
5,8,XLY,BKNG,Buy,24.411471005674414,5.584195572896433,279.2097786448216,Booking Holdings Inc.
6,3,XLP,COST,Buy,23.33261104039329,5.337403192359527,266.8701596179763,Costco Wholesale Corporation
7,1,XLK,MSFT,Buy,21.24254224382613,4.859293826556607,242.9646913278304,Microsoft Corporation
8,4,XLP,WMT,Buy,20.92802140590395,4.787346262630598,239.3673131315299,Walmart Inc.
9,55,XLF,RE,Buy,20.747975406650173,4.746160212362797,237.30801061813983,"Everest Re Group, Ltd."
10,29,XLI,TDG,Buy,20.232304174483694,4.628198905931705,231.4099452965852,TransDigm Group Incorporated
11,0,XLY,AMZN,Buy,18.777053130823838,4.295305962545813,214.76529812729063,"Amazon.com, Inc."
12,3,XLRE,EQIX,Buy,18.328896416914635,4.192788800135,209.63944000675,"Equinix, Inc."
13,23,XLV,HUM,Buy,17.351748101529925,3.9692632577551032,198.4631628877552,Humana Inc.
14,13,XLP,STZ,Buy,16.59770228958268,3.796773067227129,189.83865336135645,"Constellation Brands, Inc."
15,0,XLB,LIN,Buy,16.22103603747528,3.710609557580836,185.5304778790418,Linde plc
16,20,XLU,CEG,Buy,14.53016089344028,3.323816910327172,166.19084551635862,Constellation Energy Corporation
17,1,XLC,GOOGL,Buy,14.331248036461076,3.2783150110324817,163.9157505516241,Alphabet Inc.
18,2,XLC,GOOG,Buy,14.286594807331184,3.268100453934931,163.40502269674653,Alphabet Inc.
19,13,XLC,TTWO,Buy,11.5624549869128,2.644945482176155,132.24727410880774,"Take-Two Interactive Software, Inc."
